#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 0.00Ma	#Time: 5.00Ma	#Time: 10.00Ma	#Time: 15.00Ma	#Time: 20.00Ma	#Time: 25.00Ma	#Time: 30.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 228.00	 -0.00	 0.0	 -0.00	 0.0	 -1180.96	 -1181.0	 -1396.70	 -1196.7	 -1453.18	 -1053.2	 -1505.16	 -905.2	 -1551.84	 -752.7	 -1592.76	 -619.3	 -1621.57	 -531.1
 230.00	 -0.00	 0.0	 -0.00	 0.0	 -1246.73	 -1246.7	 -1460.65	 -1260.6	 -1516.56	 -1116.6	 -1568.01	 -968.0	 -1614.20	 -814.2	 -1654.69	 -667.1	 -1683.18	 -569.7
 232.00	 -0.00	 171.4	 -0.00	 171.4	 -1313.81	 -1142.4	 -1525.54	 -1154.1	 -1580.80	 -1009.4	 -1631.65	 -860.2	 -1677.28	 -710.5	 -1717.27	 -585.9	 -1745.40	 -503.2
 234.00	 -0.00	 342.9	 -0.00	 342.9	 -1382.08	 -1039.2	 -1591.28	 -1048.4	 -1645.80	 -902.9	 -1695.97	 -753.9	 -1740.99	 -624.0	 -1780.42	 -518.4	 -1808.15	 -447.9
 236.00	 -0.00	 514.3	 -0.00	 514.3	 -1451.43	 -937.1	 -1657.76	 -943.5	 -1711.46	 -797.2	 -1760.88	 -661.5	 -1805.21	 -551.8	 -1844.04	 -462.0	 -1871.33	 -401.6
 238.00	 -0.00	 685.7	 -0.00	 685.7	 -1521.71	 -836.0	 -1724.85	 -839.1	 -1777.67	 -699.1	 -1826.27	 -584.8	 -1869.86	 -491.9	 -1908.03	 -415.0	 -1934.85	 -362.9
 240.00	 -0.00	 857.1	 -0.00	 857.1	 -1592.77	 -735.6	 -1792.44	 -740.3	 -1844.30	 -619.7	 -1892.02	 -522.6	 -1934.81	 -443.0	 -1972.28	 -376.6	 -1998.59	 -331.1
 242.00	 -0.00	 1028.6	 -0.00	 1028.6	 -1664.45	 -635.9	 -1860.38	 -657.9	 -1911.23	 -555.0	 -1958.02	 -471.7	 -1999.96	 -402.9	 -2036.68	 -344.9	 -2062.46	 -304.8
 244.00	 -0.00	 1200.0	 -0.00	 1200.0	 -1736.60	 -536.6	 -1928.54	 -577.7	 -1978.32	 -492.0	 -2024.12	 -422.1	 -2065.17	 -363.6	 -2101.11	 -313.8	 -2126.34	 -278.9
 246.00	 -0.00	 1371.4	 -0.00	 1371.4	 -1809.02	 -437.6	 -1996.78	 -497.6	 -2045.44	 -429.0	 -2090.21	 -372.4	 -2130.33	 -324.3	 -2165.45	 -282.6	 -2190.10	 -253.0
 248.00	 -0.00	 1542.9	 -0.00	 1542.9	 -1881.54	 -338.7	 -2064.94	 -417.3	 -2112.44	 -365.8	 -2156.14	 -322.5	 -2195.29	 -284.9	 -2229.57	 -251.4	 -2253.63	 -227.0
 250.00	 -0.00	 1714.3	 -0.00	 1714.3	 -1953.98	 -239.7	 -2132.86	 -336.9	 -2179.17	 -302.5	 -2221.77	 -272.6	 -2259.93	 -245.3	 -2293.34	 -220.0	 -2316.78	 -200.9
 252.00	 -0.00	 1885.7	 -0.00	 1885.7	 -2026.13	 -140.4	 -2200.38	 -256.2	 -2245.47	 -238.9	 -2286.95	 -222.4	 -2324.09	 -205.6	 -2356.61	 -188.4	 -2379.43	 -174.6
 254.00	 -0.00	 2057.1	 -0.00	 2057.1	 -2097.80	 -40.7	 -2267.33	 -175.0	 -2311.18	 -175.0	 -2351.52	 -171.8	 -2387.64	 -165.6	 -2419.26	 -156.6	 -2441.44	 -148.1
 256.00	 -0.00	 2228.6	 -0.00	 2228.6	 -2168.78	 59.8	 -2333.55	 -90.8	 -2376.14	 -108.7	 -2415.33	 -119.5	 -2450.41	 -124.1	 -2481.12	 -123.8	 -2502.67	 -120.8
 258.00	 -0.00	 2400.0	 -0.00	 2400.0	 -2238.88	 161.1	 -2398.85	 1.2	 -2440.19	 -36.4	 -2478.22	 -62.5	 -2512.26	 -79.1	 -2542.06	 -88.1	 -2562.96	 -91.1
 260.00	 -0.00	 2571.4	 -0.00	 2571.4	 -2307.88	 263.6	 -2463.05	 108.4	 -2503.14	 68.3	 -2540.02	 31.4	 -2573.02	 -1.6	 -2601.91	 -27.3	 -2622.17	 -41.0
 262.00	 -0.00	 2742.9	 -0.00	 2742.9	 -2375.57	 367.3	 -2525.98	 216.9	 -2564.83	 178.0	 -2600.56	 142.3	 -2632.53	 110.3	 -2660.51	 82.3	 -2680.14	 62.7
 264.00	 -0.00	 2914.3	 -0.00	 2914.3	 -2441.74	 472.5	 -2587.45	 326.8	 -2625.07	 289.2	 -2659.68	 254.6	 -2690.62	 223.7	 -2717.71	 196.6	 -2736.71	 177.6
 266.00	 -0.00	 3085.7	 -0.00	 3085.7	 -2506.19	 579.5	 -2647.27	 438.4	 -2683.69	 402.0	 -2717.19	 368.5	 -2747.13	 338.6	 -2773.34	 312.4	 -2791.73	 294.0
 268.00	 -0.00	 3257.1	 -0.00	 3257.1	 -2568.70	 688.4	 -2705.27	 551.9	 -2740.51	 516.6	 -2772.92	 484.2	 -2801.88	 455.3	 -2827.24	 429.9	 -2845.02	 412.1
 270.00	 -0.00	 3428.6	 -0.00	 3428.6	 -2629.07	 799.5	 -2761.24	 667.3	 -2795.34	 633.2	 -2826.70	 601.9	 -2854.70	 573.9	 -2879.23	 549.3	 -2896.42	 532.1
 272.00	 -0.00	 3600.0	 -0.00	 3600.0	 -2687.11	 912.9	 -2815.01	 785.0	 -2848.01	 752.0	 -2878.35	 721.7	 -2905.43	 694.6	 -2929.15	 670.9	 -2945.78	 654.2
 274.00	 -0.00	 3771.4	 -0.00	 3771.4	 -2742.60	 1028.8	 -2866.40	 905.0	 -2898.34	 873.1	 -2927.70	 843.7	 -2953.90	 817.5	 -2976.84	 794.6	 -2992.92	 778.5
 276.00	 -0.00	 3942.9	 -0.00	 3942.9	 -2795.35	 1147.5	 -2915.24	 1027.6	 -2946.16	 996.7	 -2974.58	 968.3	 -2999.93	 942.9	 -3022.12	 920.7	 -3037.68	 905.2
 278.00	 -0.00	 4114.3	 -0.00	 4114.3	 -2845.18	 1269.1	 -2961.34	 1152.9	 -2991.30	 1123.0	 -3018.83	 1095.5	 -3043.37	 1070.9	 -3064.86	 1049.4	 -3079.92	 1034.4
 280.00	 -0.00	 4285.7	 -0.00	 4285.7	 -2891.91	 1393.8	 -3004.54	 1281.2	 -3033.59	 1252.1	 -3060.28	 1225.4	 -3084.06	 1201.7	 -3104.88	 1180.8	 -3119.47	 1166.2
 282.00	 -0.00	 4457.1	 -0.00	 4457.1	 -2935.36	 1521.8	 -3044.68	 1412.5	 -3072.89	 1384.3	 -3098.79	 1358.4	 -3121.85	 1335.3	 -3142.04	 1315.1	 -3156.19	 1301.0
 284.00	 -0.00	 4628.6	 -0.00	 4628.6	 -2975.37	 1653.2	 -3081.62	 1547.0	 -3109.03	 1519.5	 -3134.20	 1494.4	 -3156.60	 1472.0	 -3176.19	 1452.4	 -3189.93	 1438.6
 286.00	 -0.00	 4800.0	 -0.00	 4800.0	 -3011.79	 1788.2	 -3115.19	 1684.8	 -3141.89	 1658.1	 -3166.38	 1633.6	 -3188.16	 1611.8	 -3207.22	 1592.8	 -3220.57	 1579.4
 288.00	 -0.00	 4971.4	 -0.00	 4971.4	 -3044.47	 1927.0	 -3145.28	 1826.1	 -3171.32	 1800.1	 -3195.20	 1776.2	 -3216.42	 1755.0	 -3234.98	 1736.5	 -3247.99	 1723.4
 290.00	 -0.00	 5142.9	 -0.00	 5142.9	 -3073.28	 2069.6	 -3171.77	 1971.1	 -3197.21	 1945.6	 -3220.54	 1922.3	 -3241.25	 1901.6	 -3259.36	 1883.5	 -3272.06	 1870.8
 292.00	 -0.00	 5314.3	 -0.00	 5314.3	 -3098.11	 2216.2	 -3194.53	 2119.8	 -3219.46	 2094.8	 -3242.30	 2072.0	 -3262.56	 2051.7	 -3280.27	 2034.0	 -3292.69	 2021.6
 294.00	 -0.00	 5485.7	 -0.00	 5485.7	 -3118.86	 2366.9	 -3213.48	 2272.2	 -3237.96	 2247.8	 -3260.39	 2225.3	 -3280.25	 2205.5	 -3297.62	 2188.1	 -3309.79	 2175.9
 296.00	 -0.00	 5657.1	 -0.00	 5657.1	 -3135.44	 2521.7	 -3228.55	 2428.6	 -3252.65	 2404.5	 -3274.72	 2382.4	 -3294.25	 2362.9	 -3311.32	 2345.8	 -3323.28	 2333.9
 298.00	 -0.00	 5828.6	 -0.00	 5828.6	 -3147.78	 2680.8	 -3239.66	 2588.9	 -3263.46	 2565.1	 -3285.24	 2543.3	 -3304.50	 2524.1	 -3321.32	 2507.3	 -3333.12	 2495.5
 300.00	 -0.00	 6000.0	 -0.00	 6000.0	 -3155.84	 2844.2	 -3246.77	 2753.2	 -3270.35	 2729.7	 -3291.91	 2708.1	 -3310.95	 2689.1	 -3327.58	 2672.4	 -3339.24	 2660.8
 302.00	 -0.00	 5850.0	 -0.00	 5850.0	 -3159.60	 2690.4	 -3249.86	 2600.1	 -3273.29	 2576.7	 -3294.69	 2555.3	 -3313.58	 2536.4	 -3330.08	 2519.9	 -3341.64	 2508.4
 304.00	 -0.00	 5700.0	 -0.00	 5700.0	 -3159.04	 2541.0	 -3248.92	 2451.1	 -3272.27	 2427.7	 -3293.60	 2406.4	 -3312.40	 2387.6	 -3328.81	 2371.2	 -3340.31	 2359.7
 306.00	 -0.00	 5550.0	 -0.00	 5550.0	 -3154.18	 2395.8	 -3243.97	 2306.0	 -3267.33	 2282.7	 -3288.64	 2261.4	 -3307.41	 2242.6	 -3323.79	 2226.2	 -3335.27	 2214.7
 308.00	 -0.00	 5400.0	 -0.00	 5400.0	 -3145.05	 2254.9	 -3235.04	 2165.0	 -3258.48	 2141.5	 -3279.85	 2120.1	 -3298.65	 2101.3	 -3315.05	 2085.0	 -3326.55	 2073.5
 310.00	 -0.00	 5250.0	 -0.00	 5250.0	 -3131.72	 2118.3	 -3222.19	 2027.8	 -3245.78	 2004.2	 -3267.28	 1982.7	 -3286.17	 1963.8	 -3302.64	 1947.4	 -3314.20	 1935.8
 312.00	 -0.00	 5100.0	 -0.00	 5100.0	 -3114.24	 1985.8	 -3205.48	 1894.5	 -3229.30	 1870.7	 -3250.99	 1849.0	 -3270.04	 1830.0	 -3286.64	 1813.4	 -3298.28	 1801.7
 314.00	 -0.00	 4950.0	 -0.00	 4950.0	 -3092.70	 1857.3	 -3184.99	 1765.0	 -3209.12	 1740.9	 -3231.07	 1718.9	 -3250.33	 1699.7	 -3267.10	 1682.9	 -3278.87	 1671.1
 316.00	 -0.00	 4800.0	 -0.00	 4800.0	 -3067.21	 1732.8	 -3160.83	 1639.2	 -3185.32	 1614.7	 -3207.60	 1592.4	 -3227.13	 1572.9	 -3244.14	 1555.9	 -3256.07	 1543.9
 318.00	 -0.00	 4650.0	 -0.00	 4650.0	 -3037.87	 1612.1	 -3133.08	 1516.9	 -3158.03	 1492.0	 -3180.70	 1469.3	 -3200.56	 1449.4	 -3217.84	 1432.2	 -3229.97	 1420.0
 320.00	 -0.00	 4500.0	 -0.00	 4500.0	 -3004.81	 1495.2	 -3101.88	 1398.1	 -3127.34	 1372.7	 -3150.47	 1349.5	 -3170.71	 1329.3	 -3188.33	 1311.7	 -3200.69	 1299.3
 322.00	 -0.00	 4350.0	 -0.00	 4350.0	 -2968.15	 1381.8	 -3067.35	 1282.7	 -3093.39	 1256.6	 -3117.04	 1233.0	 -3137.72	 1212.3	 -3155.71	 1194.3	 -3168.34	 1181.7
 324.00	 -0.00	 4200.0	 -0.00	 4200.0	 -2928.06	 1271.9	 -3029.62	 1170.4	 -3056.32	 1143.7	 -3080.54	 1119.5	 -3101.72	 1098.3	 -3120.13	 1079.9	 -3133.06	 1066.9
 326.00	 -0.00	 4050.0	 -0.00	 4050.0	 -2884.68	 1165.3	 -2988.85	 1061.2	 -3016.26	 1033.7	 -3041.12	 1008.9	 -3062.84	 987.2	 -3081.72	 968.3	 -3094.97	 955.0
 328.00	 -0.00	 3900.0	 -0.00	 3900.0	 -2838.17	 1061.8	 -2945.18	 954.8	 -2973.36	 926.6	 -2998.91	 901.1	 -3021.22	 878.8	 -3040.61	 859.4	 -3054.23	 845.8
 330.00	 -0.00	 3750.0	 -0.00	 3750.0	 -2788.70	 961.3	 -2898.77	 851.2	 -2927.78	 822.2	 -2954.07	 795.9	 -2977.03	 773.0	 -2996.97	 753.0	 -3010.97	 739.0
 332.00	 -0.00	 3600.0	 -0.00	 3600.0	 -2736.45	 863.6	 -2849.78	 750.2	 -2879.68	 720.3	 -2906.76	 693.2	 -2930.40	 669.6	 -2950.93	 649.1	 -2965.34	 634.7
 334.00	 -0.00	 3450.0	 -0.00	 3450.0	 -2681.59	 768.4	 -2798.38	 651.6	 -2829.22	 620.8	 -2857.14	 592.9	 -2881.50	 568.5	 -2902.65	 547.4	 -2917.51	 532.5
 336.00	 -0.00	 3300.0	 -0.00	 3300.0	 -2624.32	 675.7	 -2744.74	 555.3	 -2776.56	 523.4	 -2805.36	 494.6	 -2830.49	 469.5	 -2852.29	 447.7	 -2867.61	 432.4
 338.00	 -0.00	 3150.0	 -0.00	 3150.0	 -2564.81	 585.2	 -2689.03	 461.0	 -2721.87	 428.1	 -2751.59	 398.4	 -2777.52	 372.5	 -2800.01	 350.0	 -2815.81	 334.2
 340.00	 -0.00	 3000.0	 -0.00	 3000.0	 -2503.26	 496.7	 -2631.42	 368.6	 -2665.33	 334.7	 -2696.01	 304.0	 -2722.76	 277.2	 -2745.96	 254.0	 -2762.27	 237.7
 342.00	 -0.00	 2850.0	 -0.00	 2850.0	 -2439.87	 410.1	 -2572.09	 277.9	 -2607.10	 242.9	 -2638.76	 211.2	 -2666.36	 183.6	 -2690.31	 159.7	 -2707.13	 142.9
 344.00	 -0.00	 2700.0	 -0.00	 2700.0	 -2374.82	 325.2	 -2511.21	 188.8	 -2547.35	 152.7	 -2580.02	 120.0	 -2608.50	 91.5	 -2633.20	 66.8	 -2650.56	 49.4
 346.00	 -0.00	 2550.0	 -0.00	 2550.0	 -2308.32	 241.7	 -2448.97	 101.0	 -2486.25	 63.8	 -2519.95	 30.1	 -2549.33	 0.7	 -2574.80	 -22.4	 -2592.70	 -34.8
 348.00	 -0.00	 2400.0	 -0.00	 2400.0	 -2240.55	 159.4	 -2385.52	 14.5	 -2423.97	 -22.7	 -2458.71	 -48.9	 -2489.00	 -65.2	 -2515.26	 -74.1	 -2533.71	 -77.4
 350.00	 -0.00	 2250.0	 -0.00	 2250.0	 -2171.72	 78.3	 -2321.04	 -62.8	 -2360.66	 -84.4	 -2396.46	 -97.6	 -2427.67	 -103.7	 -2454.72	 -104.6	 -2473.73	 -102.8
 352.00	 -0.00	 2100.0	 -0.00	 2100.0	 -2102.01	 -2.0	 -2255.70	 -131.8	 -2296.50	 -138.8	 -2333.35	 -140.7	 -2365.48	 -137.9	 -2393.33	 -131.8	 -2412.90	 -125.5
 354.00	 -0.00	 1950.0	 -0.00	 1950.0	 -2031.62	 -81.6	 -2189.66	 -197.1	 -2231.63	 -190.4	 -2269.54	 -181.6	 -2302.59	 -170.3	 -2331.23	 -157.6	 -2351.36	 -147.0
 356.00	 -0.00	 1800.0	 -0.00	 1800.0	 -1960.73	 -160.7	 -2123.09	 -262.0	 -2166.22	 -241.7	 -2205.17	 -222.2	 -2239.14	 -202.5	 -2268.56	 -183.3	 -2289.25	 -168.4
 358.00	 -0.00	 1650.0	 -0.00	 1650.0	 -1889.54	 -239.5	 -2056.13	 -326.5	 -2100.41	 -292.7	 -2140.39	 -262.6	 -2175.25	 -234.6	 -2205.46	 -208.8	 -2226.69	 -189.7
 360.00	 -0.00	 1500.0	 -0.00	 1500.0	 -1818.21	 -318.2	 -1988.94	 -390.9	 -2034.34	 -343.5	 -2075.33	 -302.8	 -2111.08	 -266.5	 -2142.04	 -234.2	 -2163.82	 -210.9
 362.00	 -0.00	 1350.0	 -0.00	 1350.0	 -1746.93	 -396.9	 -1921.67	 -455.3	 -1968.16	 -394.3	 -2010.13	 -342.9	 -2046.73	 -298.4	 -2078.44	 -259.5	 -2100.74	 -232.0
 364.00	 -0.00	 1200.0	 -0.00	 1200.0	 -1675.88	 -475.9	 -1854.47	 -519.6	 -1902.00	 -445.0	 -1944.91	 -383.1	 -1982.35	 -330.2	 -2014.78	 -284.7	 -2037.59	 -253.0
 366.00	 -0.00	 1050.0	 -0.00	 1050.0	 -1605.20	 -555.2	 -1787.46	 -584.1	 -1835.99	 -495.8	 -1879.81	 -423.2	 -1918.05	 -362.0	 -1951.17	 -310.0	 -1974.47	 -274.0
 368.00	 -0.00	 900.0	 -0.00	 900.0	 -1535.07	 -635.1	 -1720.78	 -648.8	 -1770.27	 -546.8	 -1814.95	 -463.4	 -1853.94	 -393.7	 -1887.72	 -335.2	 -1911.49	 -295.0
 370.00	 -0.00	 750.0	 -0.00	 750.0	 -1465.64	 -715.6	 -1654.56	 -713.9	 -1704.94	 -597.9	 -1750.43	 -503.7	 -1790.14	 -425.6	 -1824.55	 -360.4	 -1848.75	 -315.9
 372.00	 -0.00	 600.0	 -0.00	 600.0	 -1397.05	 -797.0	 -1588.92	 -789.1	 -1640.13	 -656.8	 -1686.37	 -550.0	 -1726.75	 -462.0	 -1761.74	 -389.0	 -1786.36	 -339.7
 374.00	 -0.00	 450.0	 -0.00	 450.0	 -1329.43	 -879.4	 -1523.96	 -874.0	 -1575.94	 -728.8	 -1622.87	 -606.3	 -1663.86	 -506.1	 -1699.40	 -423.7	 -1724.41	 -368.3
 376.00	 -0.00	 300.0	 -0.00	 300.0	 -1262.92	 -962.9	 -1459.81	 -959.8	 -1512.47	 -812.5	 -1560.03	 -672.1	 -1601.58	 -557.6	 -1637.61	 -463.9	 -1662.98	 -401.4
 378.00	 -0.00	 150.0	 -0.00	 150.0	 -1197.62	 -1047.6	 -1396.55	 -1046.6	 -1449.82	 -899.8	 -1497.94	 -749.0	 -1540.00	 -617.5	 -1576.47	 -510.7	 -1602.16	 -439.8
 380.00	 -0.00	 0.0	 -0.00	 0.0	 -1133.66	 -1133.7	 -1334.29	 -1134.3	 -1388.09	 -988.1	 -1436.68	 -836.7	 -1479.18	 -687.5	 -1516.05	 -565.2	 -1542.03	 -484.4
 382.00	 -0.00	 0.0	 -0.00	 0.0	 -1071.11	 -1071.1	 -1273.09	 -1073.1	 -1327.34	 -927.3	 -1376.34	 -776.3	 -1419.22	 -639.4	 -1456.43	 -528.3	 -1482.66	 -454.6
 384.00	 -0.00	 0.0	 -0.00	 0.0	 -1010.07	 -1010.1	 -1213.05	 -1013.1	 -1267.65	 -867.7	 -1316.98	 -720.7	 -1360.18	 -596.6	 -1397.68	 -495.5	 -1424.12	 -428.0
 386.00	 -0.00	 0.0	 -0.00	 0.0	 -950.61	 -950.6	 -1154.23	 -954.2	 -1209.09	 -809.1	 -1258.68	 -671.2	 -1302.12	 -558.5	 -1339.85	 -466.2	 -1366.47	 -404.4
 388.00	 -0.00	 0.0	 -0.00	 0.0	 -892.79	 -892.8	 -1096.68	 -896.7	 -1151.72	 -752.7	 -1201.48	 -627.3	 -1245.10	 -524.8	 -1283.00	 -440.3	 -1309.76	 -383.4
 390.00	 -0.00	 0.0	 -0.00	 0.0	 -836.67	 -836.7	 -1040.46	 -840.5	 -1095.60	 -702.3	 -1145.45	 -588.4	 -1189.17	 -494.8	 -1227.19	 -417.1	 -1254.05	 -364.6
 392.00	 -0.00	 0.0	 -0.00	 0.0	 -782.28	 -782.3	 -985.61	 -786.5	 -1040.75	 -658.4	 -1090.62	 -554.5	 -1134.38	 -468.5	 -1172.47	 -396.9	 -1199.38	 -348.2
 394.00	 -0.00	 0.0	 -0.00	 0.0	 -729.66	 -729.7	 -932.18	 -737.9	 -987.23	 -620.7	 -1037.04	 -525.3	 -1080.77	 -445.9	 -1118.86	 -379.4	 -1145.80	 -334.0
 396.00	 -0.00	 0.0	 -0.00	 0.0	 -678.83	 -678.8	 -880.20	 -696.2	 -935.08	 -588.2	 -984.74	 -500.0	 -1028.38	 -426.3	 -1066.42	 -364.2	 -1093.34	 -321.5
 398.00	 -0.00	 0.0	 -0.00	 0.0	 -629.82	 -629.8	 -829.70	 -657.0	 -884.31	 -557.7	 -933.75	 -476.2	 -977.24	 -407.7	 -1015.18	 -349.7	 -1042.04	 -309.7
 400.00	 -0.00	 0.0	 -0.00	 0.0	 -582.64	 -582.6	 -780.69	 -619.0	 -834.96	 -528.0	 -884.11	 -452.9	 -927.38	 -389.5	 -965.15	 -335.5	 -991.92	 -298.0
 402.00	 -0.00	 0.0	 -0.00	 0.0	 -537.29	 -537.3	 -733.20	 -582.1	 -787.04	 -499.0	 -835.83	 -430.2	 -878.82	 -371.7	 -916.38	 -321.5	 -943.01	 -286.5
 404.00	 -0.00	 0.0	 -0.00	 0.0	 -493.77	 -493.8	 -687.24	 -546.4	 -740.57	 -470.9	 -788.93	 -408.1	 -831.58	 -354.2	 -868.87	 -307.8	 -895.34	 -275.2
 406.00	 -0.00	 0.0	 -0.00	 0.0	 -452.07	 -452.1	 -642.82	 -511.8	 -695.57	 -443.7	 -743.42	 -386.5	 -785.67	 -337.2	 -822.65	 -294.3	 -848.92	 -264.0
 408.00	 -0.00	 0.0	 -0.00	 0.0	 -412.19	 -412.2	 -599.94	 -478.4	 -652.03	 -417.3	 -699.32	 -365.6	 -741.11	 -320.6	 -777.73	 -281.1	 -803.77	 -253.1
 410.00	 -0.00	 0.0	 -0.00	 0.0	 -374.10	 -374.1	 -558.60	 -446.2	 -609.97	 -391.7	 -656.63	 -345.2	 -697.91	 -304.4	 -734.12	 -268.2	 -759.90	 -242.3
 412.00	 -0.00	 0.0	 -0.00	 0.0	 -337.78	 -337.8	 -518.79	 -415.2	 -569.37	 -367.0	 -615.35	 -325.5	 -656.08	 -288.6	 -691.84	 -255.6	 -717.31	 -231.8
 414.00	 -0.00	 0.0	 -0.00	 0.0	 -303.21	 -303.2	 -480.52	 -385.3	 -530.25	 -343.1	 -575.49	 -306.3	 -615.61	 -273.2	 -650.87	 -243.2	 -676.02	 -221.4
 416.00	 -0.00	 0.0	 -0.00	 0.0	 -270.37	 -270.4	 -443.77	 -356.6	 -492.59	 -320.0	 -537.04	 -287.8	 -576.50	 -258.3	 -611.24	 -231.2	 -636.03	 -211.3
 418.00	 -0.00	 0.0	 -0.00	 0.0	 -239.21	 -239.2	 -408.53	 -329.1	 -456.38	 -297.9	 -500.00	 -269.9	 -538.76	 -243.8	 -572.92	 -219.5	 -597.34	 -201.4
 420.00	 -0.00	 0.0	 -0.00	 0.0	 -209.71	 -209.7	 -374.78	 -302.7	 -421.62	 -276.5	 -464.35	 -252.5	 -502.38	 -229.7	 -535.94	 -208.0	 -559.94	 -191.7
 422.00	 -0.00	 0.0	 -0.00	 0.0	 -181.83	 -181.8	 -342.50	 -277.4	 -388.29	 -256.0	 -430.09	 -235.8	 -467.35	 -216.1	 -500.27	 -196.9	 -523.84	 -182.2
 424.00	 -0.00	 0.0	 -0.00	 0.0	 -155.52	 -155.5	 -311.68	 -253.2	 -356.36	 -236.3	 -397.21	 -219.7	 -433.66	 -202.9	 -465.90	 -186.1	 -489.02	 -173.0
 426.00	 -0.00	 0.0	 -0.00	 0.0	 -130.76	 -130.8	 -282.28	 -230.1	 -325.83	 -217.4	 -365.68	 -204.2	 -401.30	 -190.2	 -432.84	 -175.6	 -455.49	 -164.0
 428.00	 -0.00	 0.0	 -0.00	 0.0	 -107.49	 -107.5	 -254.29	 -208.1	 -296.68	 -199.3	 -335.50	 -189.3	 -370.25	 -177.8	 -401.07	 -165.4	 -423.22	 -155.3
 430.00	 -0.00	 0.0	 -0.00	 0.0	 -85.68	 -85.7	 -227.68	 -187.2	 -268.87	 -182.1	 -306.64	 -175.0	 -340.50	 -166.0	 -370.57	 -155.6	 -392.22	 -146.8
 432.00	 -0.00	 0.0	 -0.00	 0.0	 -65.27	 -65.3	 -202.42	 -167.3	 -242.39	 -165.6	 -279.09	 -161.2	 -312.03	 -154.5	 -341.34	 -146.0	 -362.45	 -138.5
 434.00	 -0.00	 0.0	 -0.00	 0.0	 -46.22	 -46.2	 -178.49	 -148.4	 -217.21	 -149.8	 -252.81	 -148.1	 -284.82	 -143.5	 -313.34	 -136.8	 -333.92	 -130.5
 436.00	 -0.00	 0.0	 -0.00	 0.0	 -28.49	 -28.5	 -155.84	 -130.5	 -193.30	 -134.9	 -227.79	 -135.5	 -258.85	 -132.9	 -286.57	 -127.8	 -306.60	 -122.7
 438.00	 -0.00	 0.0	 -0.00	 0.0	 -12.03	 -12.0	 -134.45	 -113.6	 -170.64	 -120.6	 -204.01	 -123.5	 -234.11	 -122.7	 -261.01	 -119.2	 -280.47	 -115.1
 440.00	 -0.00	 0.0	 -0.00	 0.0	 3.21	 3.2	 -114.29	 -97.5	 -149.20	 -107.0	 -181.43	 -111.9	 -210.56	 -112.9	 -236.63	 -110.9	 -255.52	 -107.8
 442.00	 -0.00	 0.0	 -0.00	 0.0	 17.27	 17.3	 -95.32	 -81.9	 -128.95	 -93.8	 -160.03	 -100.6	 -188.18	 -103.3	 -213.41	 -102.7	 -231.72	 -100.6
 444.00	 -0.00	 0.0	 -0.00	 0.0	 30.21	 30.2	 -77.51	 -67.3	 -109.85	 -81.3	 -139.79	 -89.9	 -166.94	 -94.1	 -191.33	 -94.8	 -209.05	 -93.7
 446.00	 -0.00	 0.0	 -0.00	 0.0	 42.07	 42.1	 -60.82	 -53.5	 -91.87	 -69.5	 -120.67	 -79.8	 -146.83	 -85.3	 -170.37	 -87.3	 -187.50	 -87.0
 448.00	 -0.00	 0.0	 -0.00	 0.0	 52.90	 52.9	 -45.22	 -40.6	 -74.99	 -58.3	 -102.64	 -70.1	 -127.81	 -77.0	 -150.50	 -80.1	 -167.03	 -80.5
 450.00	 -0.00	 0.0	 -0.00	 0.0	 62.74	 62.7	 -30.67	 -28.2	 -59.16	 -47.6	 -85.67	 -60.7	 -109.85	 -68.8	 -131.69	 -73.0	 -147.63	 -74.2
 452.00	 -0.00	 0.0	 -0.00	 0.0	 71.65	 71.6	 -17.13	 -16.3	 -44.36	 -37.2	 -69.74	 -51.7	 -92.94	 -61.0	 -113.92	 -66.1	 -129.26	 -68.1
 454.00	 -0.00	 0.0	 -0.00	 0.0	 79.65	 79.7	 -4.58	 -4.6	 -30.56	 -27.0	 -54.81	 -42.8	 -77.03	 -53.2	 -97.16	 -59.3	 -111.91	 -62.0
 456.00	 -0.00	 0.0	 -0.00	 0.0	 86.81	 86.8	 7.04	 7.0	 -17.71	 -16.5	 -40.85	 -33.7	 -62.09	 -45.3	 -81.39	 -52.5	 -95.54	 -55.8
 458.00	 -0.00	 0.0	 -0.00	 0.0	 93.16	 93.2	 17.75	 17.8	 -5.78	 -5.7	 -27.83	 -24.3	 -48.11	 -37.2	 -66.57	 -45.4	 -80.13	 -49.6
 460.00	 -0.00	 0.0	 -0.00	 0.0	 98.74	 98.7	 27.60	 27.6	 5.26	 5.3	 -15.71	 -14.6	 -35.04	 -28.8	 -52.67	 -38.2	 -65.65	 -43.1
 462.00	 -0.00	 0.0	 -0.00	 0.0	 103.61	 103.6	 36.62	 36.6	 15.44	 15.4	 -4.47	 -4.4	 -22.86	 -20.0	 -39.67	 -30.7	 -52.07	 -36.5
 464.00	 -0.00	 0.0	 -0.00	 0.0	 107.79	 107.8	 44.84	 44.8	 24.81	 24.8	 5.93	 5.9	 -11.54	 -10.9	 -27.54	 -22.9	 -39.37	 -29.6
