#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 0.00Ma	#Time: 5.00Ma	#Time: 10.00Ma	#Time: 15.00Ma	#Time: 20.00Ma	#Time: 25.00Ma	#Time: 30.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 58.00	 -0.00	 0.0	 -0.00	 0.0	 33.20	 33.2	 41.41	 41.4	 43.65	 43.6	 45.68	 45.7	 47.44	 47.4	 48.89	 48.9	 49.84	 49.8
 60.00	 -0.00	 0.0	 -0.00	 0.0	 35.99	 36.0	 44.15	 44.1	 46.30	 46.3	 48.24	 48.2	 49.91	 49.9	 51.27	 51.3	 52.14	 52.1
 62.00	 -0.00	 0.0	 -0.00	 0.0	 38.83	 38.8	 46.89	 46.9	 48.95	 49.0	 50.79	 50.8	 52.35	 52.4	 53.60	 53.6	 54.39	 54.4
 64.00	 -0.00	 0.0	 -0.00	 0.0	 41.71	 41.7	 49.62	 49.6	 51.59	 51.6	 53.32	 53.3	 54.77	 54.8	 55.90	 55.9	 56.59	 56.6
 66.00	 -0.00	 0.0	 -0.00	 0.0	 44.63	 44.6	 52.36	 52.4	 54.21	 54.2	 55.82	 55.8	 57.14	 57.1	 58.15	 58.1	 58.74	 58.7
 68.00	 -0.00	 0.0	 -0.00	 0.0	 47.59	 47.6	 55.09	 55.1	 56.81	 56.8	 58.29	 58.3	 59.47	 59.5	 60.34	 60.3	 60.82	 60.8
 70.00	 -0.00	 0.0	 -0.00	 0.0	 50.60	 50.6	 57.81	 57.8	 59.39	 59.4	 60.71	 60.7	 61.74	 61.7	 62.46	 62.5	 62.84	 62.8
 72.00	 -0.00	 0.0	 -0.00	 0.0	 53.64	 53.6	 60.51	 60.5	 61.93	 61.9	 63.10	 63.1	 63.96	 64.0	 64.52	 64.5	 64.77	 64.8
 74.00	 -0.00	 0.0	 -0.00	 0.0	 56.71	 56.7	 63.19	 63.2	 64.44	 64.4	 65.42	 65.4	 66.11	 66.1	 66.50	 66.5	 66.61	 66.6
 76.00	 -0.00	 0.0	 -0.00	 0.0	 59.82	 59.8	 65.84	 65.8	 66.90	 66.9	 67.69	 67.7	 68.18	 68.2	 68.38	 68.4	 68.35	 68.4
 78.00	 -0.00	 0.0	 -0.00	 0.0	 62.95	 63.0	 68.46	 68.5	 69.30	 69.3	 69.88	 69.9	 70.17	 70.2	 70.17	 70.2	 69.99	 70.0
 80.00	 -0.00	 0.0	 -0.00	 0.0	 66.11	 66.1	 71.03	 71.0	 71.65	 71.6	 72.00	 72.0	 72.06	 72.1	 71.85	 71.8	 71.50	 71.5
 82.00	 -0.00	 0.0	 -0.00	 0.0	 69.29	 69.3	 73.55	 73.5	 73.92	 73.9	 74.03	 74.0	 73.85	 73.8	 73.40	 73.4	 72.88	 72.9
 84.00	 -0.00	 0.0	 -0.00	 0.0	 72.48	 72.5	 76.01	 76.0	 76.11	 76.1	 75.95	 76.0	 75.51	 75.5	 74.82	 74.8	 74.11	 74.1
 86.00	 -0.00	 0.0	 -0.00	 0.0	 75.67	 75.7	 78.40	 78.4	 78.21	 78.2	 77.76	 77.8	 77.05	 77.0	 76.09	 76.1	 75.19	 75.2
 88.00	 -0.00	 0.0	 -0.00	 0.0	 78.86	 78.9	 80.70	 80.7	 80.20	 80.2	 79.45	 79.5	 78.44	 78.4	 77.21	 77.2	 76.09	 76.1
