#Time: 0.00Ma	 	#Time: 0.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)
 232.00	 -0.00	 1104.5	 -916.30	 188.2
 234.00	 -0.00	 1207.9	 -961.38	 246.5
 236.00	 -0.00	 1309.0	 -1004.98	 304.0
 238.00	 -0.00	 1406.7	 -1046.75	 360.0
 240.00	 -0.00	 1500.0	 -1086.33	 413.7
 242.00	 -0.00	 1587.8	 -1123.38	 464.4
 244.00	 -0.00	 1669.1	 -1157.59	 511.5
 246.00	 -0.00	 1743.1	 -1188.63	 554.5
 248.00	 -0.00	 1809.0	 -1216.23	 592.8
 250.00	 -0.00	 1866.0	 -1240.11	 625.9
 252.00	 -0.00	 1913.6	 -1260.05	 653.5
 254.00	 -0.00	 1951.1	 -1275.83	 675.2
 256.00	 -0.00	 1978.2	 -1287.28	 690.9
 258.00	 -0.00	 1994.5	 -1294.29	 700.2
 260.00	 -0.00	 2000.0	 -1296.75	 703.3
 262.00	 -0.00	 1994.5	 -1294.62	 699.9
 264.00	 -0.00	 1978.2	 -1287.89	 690.3
 266.00	 -0.00	 1951.1	 -1276.61	 674.4
 268.00	 -0.00	 1913.6	 -1260.87	 652.7
 270.00	 -0.00	 1866.0	 -1240.80	 625.2
 272.00	 -0.00	 1809.0	 -1216.57	 592.5
 274.00	 -0.00	 1743.1	 -1188.40	 554.7
 276.00	 -0.00	 1669.1	 -1156.57	 512.6
 278.00	 -0.00	 1587.8	 -1121.37	 466.4
 280.00	 -0.00	 1500.0	 -1083.15	 416.9
 282.00	 -0.00	 1406.7	 -1042.28	 364.5
 284.00	 -0.00	 1309.0	 -999.18	 309.8
 286.00	 -0.00	 1207.9	 -954.29	 253.6
 288.00	 -0.00	 1104.5	 -908.05	 196.5
 290.00	 -0.00	 1000.0	 -860.95	 139.1
 292.00	 -0.00	 895.5	 -813.48	 82.0
 294.00	 -0.00	 792.1	 -766.14	 25.9
 296.00	 -0.00	 691.0	 -719.44	 -28.5
 298.00	 -0.00	 593.3	 -673.88	 -80.6
 300.00	 -0.00	 500.0	 -629.95	 -130.0
 302.00	 -0.00	 412.2	 -588.14	 -175.9
 304.00	 -0.00	 330.9	 -548.91	 -218.0
 306.00	 -0.00	 256.9	 -512.71	 -255.8
 308.00	 -0.00	 191.0	 -479.94	 -289.0
 310.00	 -0.00	 134.0	 -450.99	 -317.0
 312.00	 -0.00	 86.4	 -426.19	 -339.7
 314.00	 -0.00	 48.9	 -405.86	 -356.9
 316.00	 -0.00	 21.9	 -390.24	 -368.4
 318.00	 -0.00	 5.5	 -379.54	 -374.1
 320.00	 -0.00	 0.0	 -373.92	 -373.9
 322.00	 -0.00	 5.5	 -373.48	 -368.0
 324.00	 -0.00	 21.9	 -378.27	 -356.4
 326.00	 -0.00	 48.9	 -388.28	 -339.3
 328.00	 -0.00	 86.4	 -403.44	 -317.0
 330.00	 -0.00	 134.0	 -423.63	 -289.7
 332.00	 -0.00	 191.0	 -448.67	 -257.7
 334.00	 -0.00	 256.9	 -478.33	 -221.5
 336.00	 -0.00	 330.9	 -512.32	 -181.5
 338.00	 -0.00	 412.2	 -550.31	 -138.1
 340.00	 -0.00	 500.0	 -591.91	 -91.9
 342.00	 -0.00	 593.3	 -636.70	 -43.4
 344.00	 -0.00	 691.0	 -684.22	 6.8
 346.00	 -0.00	 792.1	 -733.96	 58.1
 348.00	 -0.00	 895.5	 -785.41	 110.1
 350.00	 -0.00	 1000.0	 -838.01	 162.0
 352.00	 -0.00	 1104.5	 -891.19	 213.3
 354.00	 -0.00	 1207.9	 -944.38	 263.5
 356.00	 -0.00	 1309.0	 -996.99	 312.0
 358.00	 -0.00	 1406.7	 -1048.44	 358.3
 360.00	 -0.00	 1500.0	 -1098.15	 401.8
 362.00	 -0.00	 1587.8	 -1145.56	 442.2
 364.00	 -0.00	 1669.1	 -1190.13	 479.0
 366.00	 -0.00	 1743.1	 -1231.35	 511.8
 368.00	 -0.00	 1809.0	 -1268.72	 540.3
 370.00	 -0.00	 1866.0	 -1301.82	 564.2
 372.00	 -0.00	 1913.6	 -1330.23	 583.3
 374.00	 -0.00	 1951.1	 -1353.60	 597.5
 376.00	 -0.00	 1978.2	 -1371.63	 606.5
 378.00	 -0.00	 1994.5	 -1384.08	 610.4
 380.00	 -0.00	 2000.0	 -1390.76	 609.2
 382.00	 -0.00	 1994.5	 -1391.54	 603.0
 384.00	 -0.00	 1978.2	 -1386.37	 591.8
 386.00	 -0.00	 1951.1	 -1375.25	 575.8
 388.00	 -0.00	 1913.6	 -1358.26	 555.3
 390.00	 -0.00	 1866.0	 -1335.52	 530.5
 392.00	 -0.00	 1809.0	 -1307.24	 501.8
 394.00	 -0.00	 1743.1	 -1273.69	 469.5
 396.00	 -0.00	 1669.1	 -1235.18	 433.9
 398.00	 -0.00	 1587.8	 -1192.10	 395.7
 400.00	 -0.00	 1500.0	 -1144.88	 355.1
 402.00	 -0.00	 1406.7	 -1094.02	 312.7
 404.00	 -0.00	 1309.0	 -1040.03	 269.0
 406.00	 -0.00	 1207.9	 -983.48	 224.4
 408.00	 -0.00	 1104.5	 -924.98	 179.5
 410.00	 -0.00	 1000.0	 -865.16	 134.8
 412.00	 -0.00	 895.5	 -804.66	 90.8
 414.00	 -0.00	 792.1	 -744.14	 48.0
 416.00	 -0.00	 691.0	 -684.27	 6.7
 418.00	 -0.00	 593.3	 -625.71	 -32.4
 420.00	 -0.00	 500.0	 -569.12	 -69.1
 422.00	 -0.00	 412.2	 -515.15	 -102.9
 424.00	 -0.00	 330.9	 -464.40	 -133.5
 426.00	 -0.00	 256.9	 -417.46	 -160.6
 428.00	 -0.00	 191.0	 -374.88	 -183.9
 430.00	 -0.00	 134.0	 -337.16	 -203.2
 432.00	 -0.00	 86.4	 -304.76	 -218.3
 434.00	 -0.00	 48.9	 -278.08	 -229.1
 436.00	 -0.00	 21.9	 -257.45	 -235.6
 438.00	 -0.00	 5.5	 -243.16	 -237.7
 440.00	 -0.00	 0.0	 -235.41	 -235.4
 442.00	 -0.00	 5.5	 -234.34	 -228.9
 444.00	 -0.00	 21.9	 -240.01	 -218.2
 446.00	 -0.00	 48.9	 -252.40	 -203.5
 448.00	 -0.00	 86.4	 -271.45	 -185.0
 450.00	 -0.00	 134.0	 -296.98	 -163.0
 452.00	 -0.00	 191.0	 -328.76	 -137.8
 454.00	 -0.00	 256.9	 -366.50	 -109.6
 456.00	 -0.00	 330.9	 -409.81	 -78.9
 458.00	 -0.00	 412.2	 -458.27	 -46.1
 460.00	 -0.00	 500.0	 -511.38	 -11.4
 462.00	 -0.00	 593.3	 -568.59	 24.7
 464.00	 -0.00	 691.0	 -629.28	 61.7
 466.00	 -0.00	 792.1	 -692.83	 99.3
 468.00	 -0.00	 895.5	 -758.55	 136.9
 470.00	 -0.00	 1000.0	 -825.73	 174.3
 472.00	 -0.00	 1104.5	 -893.63	 210.9
 474.00	 -0.00	 1207.9	 -961.52	 246.4
 476.00	 -0.00	 1309.0	 -1028.64	 280.4
 478.00	 -0.00	 1406.7	 -1094.25	 312.5
 480.00	 -0.00	 1500.0	 -1157.60	 342.4
 482.00	 -0.00	 1587.8	 -1217.99	 369.8
 484.00	 -0.00	 1669.1	 -1274.72	 394.4
 486.00	 -0.00	 1743.1	 -1327.15	 416.0
 488.00	 -0.00	 1809.0	 -1374.66	 434.4
 490.00	 -0.00	 1866.0	 -1416.70	 449.3
 492.00	 -0.00	 1913.6	 -1452.76	 460.8
 494.00	 -0.00	 1951.1	 -1482.40	 468.7
 496.00	 -0.00	 1978.2	 -1505.25	 472.9
 498.00	 -0.00	 1994.5	 -1521.02	 473.5
 500.00	 -0.00	 2000.0	 -1529.48	 470.5
 502.00	 -0.00	 1994.5	 -1530.50	 464.0
 504.00	 -0.00	 1978.2	 -1524.00	 454.2
 506.00	 -0.00	 1951.1	 -1510.02	 441.0
 508.00	 -0.00	 1913.6	 -1488.66	 424.9
 510.00	 -0.00	 1866.0	 -1460.11	 405.9
 512.00	 -0.00	 1809.0	 -1424.63	 384.4
 514.00	 -0.00	 1743.1	 -1382.59	 360.5
 516.00	 -0.00	 1669.1	 -1334.41	 334.7
 518.00	 -0.00	 1587.8	 -1280.57	 307.2
 520.00	 -0.00	 1500.0	 -1221.64	 278.4
 522.00	 -0.00	 1406.7	 -1158.25	 248.5
 524.00	 -0.00	 1309.0	 -1091.06	 218.0
 526.00	 -0.00	 1207.9	 -1020.80	 187.1
 528.00	 -0.00	 1104.5	 -948.23	 156.3
 530.00	 -0.00	 1000.0	 -874.14	 125.9
 532.00	 -0.00	 895.5	 -799.35	 96.1
 534.00	 -0.00	 792.1	 -724.67	 67.4
 536.00	 -0.00	 691.0	 -650.93	 40.0
 538.00	 -0.00	 593.3	 -578.96	 14.3
 540.00	 -0.00	 500.0	 -509.57	 -9.6
 542.00	 -0.00	 412.2	 -443.54	 -31.3
 544.00	 -0.00	 330.9	 -381.62	 -50.8
 546.00	 -0.00	 256.9	 -324.52	 -67.7
 548.00	 -0.00	 191.0	 -272.90	 -81.9
 550.00	 -0.00	 134.0	 -227.36	 -93.4
 552.00	 -0.00	 86.4	 -188.44	 -102.0
 554.00	 -0.00	 48.9	 -156.61	 -107.7
 556.00	 -0.00	 21.9	 -132.26	 -110.4
 558.00	 -0.00	 5.5	 -115.69	 -110.2
 560.00	 -0.00	 0.0	 -107.13	 -107.1
 562.00	 -0.00	 5.5	 -106.72	 -101.2
 564.00	 -0.00	 21.9	 -114.51	 -92.7
 566.00	 -0.00	 48.9	 -130.44	 -81.5
 568.00	 -0.00	 86.4	 -154.38	 -67.9
 570.00	 -0.00	 134.0	 -186.11	 -52.1
 572.00	 -0.00	 191.0	 -225.30	 -34.3
 574.00	 -0.00	 256.9	 -271.57	 -14.7
 576.00	 -0.00	 330.9	 -324.43	 6.4
 578.00	 -0.00	 412.2	 -383.33	 28.9
 580.00	 -0.00	 500.0	 -447.63	 52.4
 582.00	 -0.00	 593.3	 -516.66	 76.6
 584.00	 -0.00	 691.0	 -589.66	 101.3
 586.00	 -0.00	 792.1	 -665.84	 126.3
 588.00	 -0.00	 895.5	 -744.37	 151.1
