#con 15 Km de E.T.:
94.0	101.1	0
89.4	109.2	.25
85.4	117.5	.5
82.2	125.6	.75
79.4	133.4	1
75.0	148.1	1.5
71.6	161.4	2
68.8	173.3	2.5
66.4	184.0	3
64.4	193.6	3.5
62.8	202.3	4
60.0	217.4	5
57.6	230.2	6
55.6	241.2	7
54.0	250.9	8
52.6	259.7	9
51.2	267.6	10
50.2	275.0	11
49.2	281.9	12
48.2	288.3	13
47.4	294.4	14
46.6	300.1	15
45.0	313.3	17.5
43.6	325.0	20
42.2	335.5	22.5
41.2	345.1	25
40.2	354.3	27.5
39.4	362.1	30
