#t/tau, Te, wavelength, C_tAo, C_theor 
14	30e3	50e3	0.0090761 	0.00894643
20	30e3	50e3	0.0126833 	0.0125025
25	30e3	50e3	0.0157086 	0.0154561
30	30e3	50e3	0.0186176 	0.0184009
40	30e3	50e3	0.0244357 	0.0242641
45	30e3	50e3	0.0273447 	0.0271825
50	30e3	50e3	0.03037 	0.0300923
0	35e3	50e3	0.000465441 	0.00037736
.5	35e3	50e3	0.000581801 	0.000565951
1	35e3	50e3	0.000814522 	0.000754507
2	35e3	50e3	0.00127996 	0.00113151
5	35e3	50e3	0.00244357 	0.00226167
7	35e3	50e3	0.00314173 	0.0030144
10	35e3	50e3	0.00418897 	0.00414243
14	35e3	50e3	0.00570165 	0.00564448
20	35e3	50e3	0.00802886 	0.00789332
25	35e3	50e3	0.00989062 	0.00976346
30	35e3	50e3	0.0117524 	0.0116301
40	35e3	50e3	0.0154759 	0.0153528
45	35e3	50e3	0.0173377 	0.0172088
50	35e3	50e3	0.0191994 	0.0190614
0	40e3	50e3	0.000232721 	0.000252833
.5	40e3	50e3	0.000349081 	0.00037921
1	40e3	50e3	0.000465441 	0.000505571
2	40e3	50e3	0.000814522 	0.000758244
5	40e3	50e3	0.00162904 	0.00151588
7	40e3	50e3	0.00221084 	0.00202065
10	40e3	50e3	0.00290901 	0.00277733
14	40e3	50e3	0.00383989 	0.00378535
20	40e3	50e3	0.00535257 	0.00529546
25	40e3	50e3	0.00663253 	0.00655214
30	40e3	50e3	0.0079125 	0.00780723
40	40e3	50e3	0.0103561 	0.0103127
45	40e3	50e3	0.011636 	0.011563
50	40e3	50e3	0.012916 	0.0128117
0	45e3	50e3	0.000232721 	0.000177586
.5	45e3	50e3	0.000232721 	0.00026636
1	45e3	50e3	0.000232721 	0.000355125
2	45e3	50e3	0.000465441 	0.000532633
5	45e3	50e3	0.0011636 	0.00106497
7	45e3	50e3	0.00151268 	0.0014197
10	45e3	50e3	0.00209448 	0.00195156
14	45e3	50e3	0.00279265 	0.00266026
20	45e3	50e3	0.00372353 	0.00372238
25	45e3	50e3	0.00465441 	0.00460661
30	45e3	50e3	0.00546893 	0.00549006
40	45e3	50e3	0.0073307 	0.00725461
45	45e3	50e3	0.00814522 	0.00813571
50	45e3	50e3	0.0090761 	0.00901602
0	50e3	50e3	0.000232721 	0.000129467
.5	50e3	50e3	0.00011636 	0.000194189
1	50e3	50e3	0.00011636 	0.000258908
2	50e3	50e3	0.000232721 	0.000388333
5	50e3	50e3	0.000814522 	0.000776506
7	50e3	50e3	0.0011636 	0.0010352
10	50e3	50e3	0.00151268 	0.00142313
14	50e3	50e3	0.00209448 	0.00194012
20	50e3	50e3	0.00279265 	0.00271511
25	50e3	50e3	0.00337445 	0.00336048
30	50e3	50e3	0.00407261 	0.00400543
40	50e3	50e3	0.00523621 	0.00529408
45	50e3	50e3	0.00593437 	0.00593777
50	50e3	50e3	0.00663253 	0.00658105
0	70e3	50e3	0.000698162 	4.71856e-05
.5	70e3	50e3	0.000465441 	7.0777e-05
1	70e3	50e3	0.000232721 	9.43678e-05
2	70e3	50e3	0 	0.000141548
5	70e3	50e3	-0.00011636 	0.000283075
7	70e3	50e3	0.00011636 	0.000377415
10	70e3	50e3	0.000349081 	0.000518908
14	70e3	50e3	0.000698162 	0.000707534
20	70e3	50e3	0.0011636 	0.000990408
25	70e3	50e3	0.00139632 	0.00122607
30	70e3	50e3	0.00162904 	0.00146169
40	70e3	50e3	0.00209448 	0.00193274
45	70e3	50e3	0.00232721 	0.00216818
50	70e3	50e3	0.00244357 	0.00240357
0	100e3	50e3	0.00127996 	1.61852e-05
.5	100e3	50e3	0.0011636 	2.42776e-05
1	100e3	50e3	0.00104724 	3.23699e-05
2	100e3	50e3	0.000698162 	4.85544e-05
5	100e3	50e3	0 	9.71064e-05
7	100e3	50e3	-0.000232721 	0.000129473
10	100e3	50e3	-0.000349081 	0.000178021
14	100e3	50e3	-0.000232721 	0.000242748
20	100e3	50e3	-0.00011636 	0.000339831
25	100e3	50e3	0.00011636 	0.000420726
30	100e3	50e3	0.000349081 	0.000501614
40	100e3	50e3	0.000698162 	0.000663371
45	100e3	50e3	0.000814522 	0.00074424
50	100e3	50e3	0.000930882 	0.000825103
0	150e3	50e3	0.00104724 	4.79566e-06
.5	150e3	50e3	0.00127996 	7.19347e-06
1	150e3	50e3	0.00151268 	9.59128e-06
2	150e3	50e3	0.00162904 	1.43869e-05
5	150e3	50e3	0.00127996 	2.87735e-05
7	150e3	50e3	0.00104724 	3.83645e-05
10	150e3	50e3	0.000581801 	5.27508e-05
14	150e3	50e3	0.000232721 	7.19323e-05
20	150e3	50e3	-0.00011636 	0.000100704
25	150e3	50e3	-0.000349081 	0.000124679
30	150e3	50e3	-0.000465441 	0.000148654
40	150e3	50e3	-0.000465441 	0.000196603
45	150e3	50e3	-0.000349081 	0.000220576
50	150e3	50e3	-0.000349081 	0.000244549
0	1	100e3	1 	1
.5	1	100e3	1 	1
1	1	100e3	1 	1
2	1	100e3	1 	1
5	1	100e3	1 	1
7	1	100e3	1 	1
10	1	100e3	1 	1
14	1	100e3	1 	1
20	1	100e3	1 	1
25	1	100e3	1 	1
30	1	100e3	1 	1
40	1	100e3	1 	1
45	1	100e3	1 	1
50	1	100e3	1 	1
0	2e3	100e3	0.975913 	0.970034
.5	2e3	100e3	0.985106 	0.98155
1	2e3	100e3	0.990808 	0.988641
2	2e3	100e3	0.996509 	0.995694
5	2e3	100e3	0.999767 	0.999765
7	2e3	100e3	1 	0.999966
10	2e3	100e3	1 	0.999998
14	2e3	100e3	1 	1
20	2e3	100e3	1 	1
25	2e3	100e3	1 	1
30	2e3	100e3	1 	1
40	2e3	100e3	1 	1
45	2e3	100e3	1 	1
50	2e3	100e3	1 	1
0	4e3	100e3	0.835001 	0.801837
.5	4e3	100e3	0.889574 	0.867289
1	4e3	100e3	0.926111 	0.911123
2	4e3	100e3	0.966954 	0.960138
5	4e3	100e3	0.997091 	0.996404
7	4e3	100e3	0.999418 	0.999277
10	4e3	100e3	0.999884 	0.999935
14	4e3	100e3	1 	0.999997
20	4e3	100e3	1 	1
25	4e3	100e3	1 	1
30	4e3	100e3	1 	1
40	4e3	100e3	1 	1
45	4e3	100e3	1 	1
50	4e3	100e3	1 	1
0	5e3	100e3	0.72155 	0.674451
.5	5e3	100e3	0.801257 	0.76764
1	5e3	100e3	0.858273 	0.834154
2	5e3	100e3	0.927973 	0.915512
5	5e3	100e3	0.990691 	0.98883
7	5e3	100e3	0.997556 	0.997101
10	5e3	100e3	0.999651 	0.999617
14	5e3	100e3	1 	0.999974
20	5e3	100e3	1 	1
25	5e3	100e3	1 	1
30	5e3	100e3	1 	1
40	5e3	100e3	1 	1
45	5e3	100e3	1 	1
50	5e3	100e3	1 	1
0	8e3	100e3	0.38748 	0.335899
.5	8e3	100e3	0.482197 	0.438571
1	8e3	100e3	0.562369 	0.52537
2	8e3	100e3	0.687456 	0.660784
5	8e3	100e3	0.886549 	0.876166
7	8e3	100e3	0.942285 	0.936747
10	8e3	100e3	0.979172 	0.976909
14	8e3	100e3	0.994647 	0.993975
20	8e3	100e3	0.999302 	0.999197
25	8e3	100e3	0.999884 	0.99985
30	8e3	100e3	1 	0.999972
40	8e3	100e3	1 	0.999999
45	8e3	100e3	1 	1
50	8e3	100e3	1 	1
0	10e3	100e3	0.244706 	0.205698
.5	10e3	100e3	0.318478 	0.28333
1	10e3	100e3	0.385152 	0.353375
2	10e3	100e3	0.499651 	0.473596
5	10e3	100e3	0.730626 	0.716
7	10e3	100e3	0.821852 	0.811786
10	10e3	100e3	0.904352 	0.898457
14	10e3	100e3	0.958343 	0.955402
20	10e3	100e3	0.988015 	0.987019
25	10e3	100e3	0.995811 	0.995359
30	10e3	100e3	0.998487 	0.99834
40	10e3	100e3	0.999767 	0.999788
45	10e3	100e3	0.999884 	0.999924
50	10e3	100e3	1 	0.999973
0	15e3	100e3	0.0876193 	0.0712628
.5	15e3	100e3	0.119502 	0.103772
1	15e3	100e3	0.150337 	0.135144
2	15e3	100e3	0.208867 	0.194631
5	15e3	100e3	0.361415 	0.349649
7	15e3	100e3	0.446358 	0.436038
10	15e3	100e3	0.553177 	0.54459
14	15e3	100e3	0.664417 	0.657543
20	15e3	100e3	0.781708 	0.776688
25	15e3	100e3	0.847452 	0.843625
30	15e3	100e3	0.89353 	0.890498
40	15e3	100e3	0.94822 	0.946305
45	15e3	100e3	0.963812 	0.9624
50	15e3	100e3	0.974866 	0.973671
0	20e3	100e3	0.0388643 	0.0313558
.5	20e3	100e3	0.0538748 	0.0464237
1	20e3	100e3	0.0686525 	0.0612572
2	20e3	100e3	0.0973935 	0.0902356
5	20e3	100e3	0.178497 	0.171913
7	20e3	100e3	0.228532 	0.222249
10	20e3	100e3	0.297882 	0.292074
14	20e3	100e3	0.380847 	0.375522
20	20e3	100e3	0.4872 	0.482618
25	20e3	100e3	0.561904 	0.557694
30	20e3	100e3	0.625669 	0.621876
40	20e3	100e3	0.726902 	0.723651
45	20e3	100e3	0.766698 	0.763751
50	20e3	100e3	0.800791 	0.798033
0	25e3	100e3	0.0202467 	0.0163037
.5	25e3	100e3	0.0282755 	0.02429
1	25e3	100e3	0.036188 	0.0322115
2	25e3	100e3	0.0518967 	0.047862
5	25e3	100e3	0.0970444 	0.0933115
7	25e3	100e3	0.126018 	0.122399
10	25e3	100e3	0.167675 	0.164291
14	25e3	100e3	0.220386 	0.217052
20	25e3	100e3	0.293228 	0.290015
25	25e3	100e3	0.348732 	0.345595
30	25e3	100e3	0.399697 	0.396825
40	25e3	100e3	0.490226 	0.487566
45	25e3	100e3	0.530254 	0.527682
50	25e3	100e3	0.56714 	0.564657
0	30e3	100e3	0.0117524 	0.00950024
.5	30e3	100e3	0.0164068 	0.0141941
1	30e3	100e3	0.0210612 	0.0188657
2	30e3	100e3	0.0304864 	0.0281425
5	30e3	100e3	0.0579474 	0.0554502
7	30e3	100e3	0.0756342 	0.0732277
10	30e3	100e3	0.101466 	0.0992685
14	30e3	100e3	0.134862 	0.132855
20	30e3	100e3	0.182918 	0.180901
25	30e3	100e3	0.220968 	0.2189
30	30e3	100e3	0.257273 	0.255135
40	30e3	100e3	0.324645 	0.322642
45	30e3	100e3	0.356062 	0.354065
50	30e3	100e3	0.385967 	0.38403
0	35e3	100e3	0.00756342 	0.00600378
.5	35e3	100e3	0.0103561 	0.00898317
1	35e3	100e3	0.0132651 	0.0119536
2	35e3	100e3	0.0190831 	0.0178679
5	35e3	100e3	0.0370026 	0.035399
7	35e3	100e3	0.0486386 	0.0469123
10	35e3	100e3	0.0656272 	0.063925
14	35e3	100e3	0.0876193 	0.0861371
20	35e3	100e3	0.119618 	0.118471
25	35e3	100e3	0.145683 	0.14454
30	35e3	100e3	0.17105 	0.169839
40	35e3	100e3	0.219688 	0.218213
45	35e3	100e3	0.242844 	0.241333
50	35e3	100e3	0.265301 	0.263769
0	40e3	100e3	0.00535257 	0.00403005
.5	40e3	100e3	0.00709798 	0.00603493
1	40e3	100e3	0.00884338 	0.00803578
2	40e3	100e3	0.0126833 	0.0120254
5	40e3	100e3	0.0246684 	0.0238982
7	40e3	100e3	0.0328136 	0.0317341
10	40e3	100e3	0.0447987 	0.0433701
14	40e3	100e3	0.0600419 	0.0586675
20	40e3	100e3	0.0821503 	0.0811562
25	40e3	100e3	0.100303 	0.0994858
30	40e3	100e3	0.118106 	0.11745
40	40e3	100e3	0.153014 	0.15231
45	40e3	100e3	0.170002 	0.16922
50	40e3	100e3	0.186758 	0.185793
0	45e3	100e3	0.00407261 	0.00283383
.5	45e3	100e3	0.00523621 	0.00424573
1	45e3	100e3	0.00639981 	0.00565563
2	45e3	100e3	0.00884338 	0.00846945
5	45e3	100e3	0.0169886 	0.0168632
7	45e3	100e3	0.0228066 	0.0224195
10	45e3	100e3	0.0315336 	0.0306952
14	45e3	100e3	0.0428206 	0.0416205
20	45e3	100e3	0.0588783 	0.0577781
25	45e3	100e3	0.072027 	0.0710345
30	45e3	100e3	0.0848266 	0.0841043
40	45e3	100e3	0.110077 	0.109695
45	45e3	100e3	0.122644 	0.122221
50	45e3	100e3	0.134978 	0.134571
0	50e3	100e3	0.00337445 	0.00206745
.5	50e3	100e3	0.00418897 	0.00309851
1	50e3	100e3	0.00500349 	0.0041285
2	50e3	100e3	0.00663253 	0.00618528
5	50e3	100e3	0.0121015 	0.0123302
7	50e3	100e3	0.0162904 	0.0164057
10	50e3	100e3	0.0226902 	0.0224874
14	50e3	100e3	0.0313009 	0.0305379
20	50e3	100e3	0.0435187 	0.0424895
25	50e3	100e3	0.0534094 	0.0523366
30	50e3	100e3	0.0630673 	0.0620823
40	50e3	100e3	0.0818013 	0.0812742
45	50e3	100e3	0.0911101 	0.0907224
50	50e3	100e3	0.100419 	0.100073
0	70e3	100e3	0.00162904 	0.000754435
.5	70e3	100e3	0.00221084 	0.0011313
1	70e3	100e3	0.00267629 	0.00150802
2	70e3	100e3	0.00349081 	0.00226103
5	70e3	100e3	0.00500349 	0.00451667
7	70e3	100e3	0.00605073 	0.00601759
10	70e3	100e3	0.00767978 	0.00826473
14	70e3	100e3	0.0103561 	0.011253
20	70e3	100e3	0.0150105 	0.0157186
25	70e3	100e3	0.0189667 	0.0194245
30	70e3	100e3	0.0230393 	0.0231164
40	70e3	100e3	0.0309518 	0.0304586
45	70e3	100e3	0.0347917 	0.034109
50	70e3	100e3	0.0386316 	0.0377457
0	100e3	100e3	0 	0.0002589
.5	100e3	100e3	0.000581801 	0.000388308
1	100e3	100e3	0.000930882 	0.000517699
2	100e3	100e3	0.0017454 	0.000776431
5	100e3	100e3	0.00302537 	0.00155223
7	100e3	100e3	0.00360717 	0.00206909
10	100e3	100e3	0.00407261 	0.00284388
14	100e3	100e3	0.00465441 	0.003876
20	100e3	100e3	0.00535257 	0.00542217
25	100e3	100e3	0.00616709 	0.00670882
30	100e3	100e3	0.00709798 	0.0079938
40	100e3	100e3	0.00942518 	0.0105588
45	100e3	100e3	0.0107051 	0.0118388
50	100e3	100e3	0.0119851 	0.0131171
0	150e3	100e3	-0.00127996 	7.6725e-05
.5	150e3	100e3	-0.000930882 	0.000115084
1	150e3	100e3	-0.000581801 	0.000153441
2	150e3	100e3	-0.00011636 	0.000230151
5	150e3	100e3	0.000930882 	0.000460247
7	150e3	100e3	0.00139632 	0.000613615
10	150e3	100e3	0.00209448 	0.000843622
14	150e3	100e3	0.00267629 	0.00115022
20	150e3	100e3	0.00337445 	0.00160993
25	150e3	100e3	0.00372353 	0.00199286
30	150e3	100e3	0.00395625 	0.00237565
40	150e3	100e3	0.00430533 	0.00314079
45	150e3	100e3	0.00442169 	0.00352313
50	150e3	100e3	0.00465441 	0.00390533
0	1	200e3	1 	1
.5	1	200e3	1 	1
1	1	200e3	1 	1
2	1	200e3	1 	1
5	1	200e3	1 	1
7	1	200e3	1 	1
10	1	200e3	1 	1
14	1	200e3	1 	1
20	1	200e3	1 	1
25	1	200e3	1 	1
30	1	200e3	1 	1
40	1	200e3	1 	1
45	1	200e3	1 	1
50	1	200e3	1 	1
0	2e3	200e3	0.998487 	0.998073
.5	2e3	200e3	0.999069 	0.99883
1	2e3	200e3	0.999418 	0.99929
2	2e3	200e3	0.999767 	0.999738
5	2e3	200e3	1 	0.999987
7	2e3	200e3	1 	0.999998
10	2e3	200e3	1 	1
14	2e3	200e3	1 	1
20	2e3	200e3	1 	1
25	2e3	200e3	1 	1
30	2e3	200e3	1 	1
40	2e3	200e3	1 	1
45	2e3	200e3	1 	1
50	2e3	200e3	1 	1
0	4e3	200e3	0.987782 	0.984789
.5	4e3	200e3	0.992553 	0.990704
1	4e3	200e3	0.995462 	0.994318
2	4e3	200e3	0.998255 	0.997878
5	4e3	200e3	0.999884 	0.999889
7	4e3	200e3	1 	0.999985
10	4e3	200e3	1 	0.999999
14	4e3	200e3	1 	1
20	4e3	200e3	1 	1
25	4e3	200e3	1 	1
30	4e3	200e3	1 	1
40	4e3	200e3	1 	1
45	4e3	200e3	1 	1
50	4e3	200e3	1 	1
0	5e3	200e3	0.976379 	0.970715
.5	5e3	200e3	0.985455 	0.981976
1	5e3	200e3	0.99104 	0.988907
2	5e3	200e3	0.996626 	0.995798
5	5e3	200e3	0.999767 	0.999772
7	5e3	200e3	1 	0.999967
10	5e3	200e3	1 	0.999998
14	5e3	200e3	1 	1
20	5e3	200e3	1 	1
25	5e3	200e3	1 	1
30	5e3	200e3	1 	1
40	5e3	200e3	1 	1
45	5e3	200e3	1 	1
50	5e3	200e3	1 	1
0	8e3	200e3	0.910054 	0.890022
.5	8e3	200e3	0.942402 	0.929524
1	8e3	200e3	0.963114 	0.954838
2	8e3	200e3	0.984873 	0.981454
5	8e3	200e3	0.998953 	0.998716
7	8e3	200e3	0.999767 	0.999783
10	8e3	200e3	1 	0.999985
14	8e3	200e3	1 	1
20	8e3	200e3	1 	1
25	8e3	200e3	1 	1
30	8e3	200e3	1 	1
40	8e3	200e3	1 	1
45	8e3	200e3	1 	1
50	8e3	200e3	1 	1
0	10e3	200e3	0.838143 	0.805579
.5	10e3	200e3	0.891901 	0.870038
1	10e3	200e3	0.92774 	0.913127
2	10e3	200e3	0.967885 	0.961183
5	10e3	200e3	0.997207 	0.996537
7	10e3	200e3	0.999418 	0.999309
10	10e3	200e3	0.999884 	0.999938
14	10e3	200e3	1 	0.999998
20	10e3	200e3	1 	1
25	10e3	200e3	1 	1
30	10e3	200e3	1 	1
40	10e3	200e3	1 	1
45	10e3	200e3	1 	1
50	10e3	200e3	1 	1
0	15e3	200e3	0.605422 	0.551105
.5	15e3	200e3	0.700605 	0.659221
1	15e3	200e3	0.772748 	0.741296
2	15e3	200e3	0.869327 	0.850906
5	15e3	200e3	0.975215 	0.971461
7	15e3	200e3	0.991855 	0.990521
10	15e3	200e3	0.998487 	0.998186
14	15e3	200e3	0.999767 	0.9998
20	15e3	200e3	1 	0.999993
25	15e3	200e3	1 	1
30	15e3	200e3	1 	1
40	15e3	200e3	1 	1
45	15e3	200e3	1 	1
50	15e3	200e3	1 	1
0	20e3	200e3	0.393065 	0.34121
.5	20e3	200e3	0.488248 	0.444538
1	20e3	200e3	0.568536 	0.531659
2	20e3	200e3	0.693507 	0.667052
5	20e3	200e3	0.890505 	0.880376
7	20e3	200e3	0.944845 	0.939543
10	20e3	200e3	0.980335 	0.978278
14	20e3	200e3	0.995113 	0.994452
20	20e3	200e3	0.999418 	0.999284
25	20e3	200e3	0.999884 	0.99987
30	20e3	200e3	0.999884 	0.999976
40	20e3	200e3	1 	0.999999
45	20e3	200e3	1 	1
50	20e3	200e3	1 	1
0	25e3	200e3	0.249244 	0.2096
.5	25e3	200e3	0.323831 	0.288241
1	25e3	200e3	0.39097 	0.359058
2	25e3	200e3	0.506051 	0.480254
5	25e3	200e3	0.737375 	0.722855
7	25e3	200e3	0.827903 	0.817757
10	25e3	200e3	0.908657 	0.902822
14	25e3	200e3	0.960554 	0.95798
20	25e3	200e3	0.988829 	0.988052
25	25e3	200e3	0.99616 	0.995811
30	25e3	200e3	0.998836 	0.998531
40	25e3	200e3	0.999884 	0.999819
45	25e3	200e3	1 	0.999937
50	25e3	200e3	0.999884 	0.999978
0	30e3	200e3	0.161159 	0.133045
.5	30e3	200e3	0.215499 	0.18884
1	30e3	200e3	0.266 	0.241045
2	30e3	200e3	0.35711 	0.335591
5	30e3	200e3	0.568303 	0.554247
7	30e3	200e3	0.669653 	0.658388
10	30e3	200e3	0.779381 	0.770812
14	30e3	200e3	0.871306 	0.865392
20	30e3	200e3	0.942285 	0.939412
25	30e3	200e3	0.970212 	0.968848
30	30e3	200e3	0.984524 	0.983983
40	30e3	200e3	0.996044 	0.995766
45	30e3	200e3	0.998138 	0.997823
50	30e3	200e3	0.999185 	0.998881
0	35e3	200e3	0.107284 	0.0881243
.5	35e3	200e3	0.146614 	0.127431
1	35e3	200e3	0.183966 	0.165044
2	35e3	200e3	0.253084 	0.235475
5	35e3	200e3	0.425297 	0.413084
7	35e3	200e3	0.517687 	0.507924
10	35e3	200e3	0.630091 	0.622239
14	35e3	200e3	0.741215 	0.73446
