#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 0.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 15.20	 -0.00	 0.0	 -0.00	 0.0	 -2685.68	 -2685.7
 15.40	 -0.00	 0.0	 -0.00	 0.0	 -2657.32	 -2657.3
 15.60	 -0.00	 0.0	 -0.00	 0.0	 -2629.10	 -2629.1
 15.80	 -0.00	 0.0	 -0.00	 0.0	 -2601.03	 -2601.0
 16.00	 -0.00	 0.0	 -0.00	 0.0	 -2573.09	 -2573.1
 16.20	 -0.00	 0.0	 -0.00	 0.0	 -2545.29	 -2545.3
 16.40	 -0.00	 0.0	 -0.00	 0.0	 -2517.64	 -2517.6
 16.60	 -0.00	 0.0	 -0.00	 0.0	 -2490.13	 -2490.1
 16.80	 -0.00	 0.0	 -0.00	 0.0	 -2462.76	 -2462.8
 17.00	 -0.00	 0.0	 -0.00	 0.0	 -2435.53	 -2435.5
 17.20	 -0.00	 0.0	 -0.00	 0.0	 -2408.45	 -2408.5
 17.40	 -0.00	 0.0	 -0.00	 0.0	 -2381.51	 -2381.5
 17.60	 -0.00	 0.0	 -0.00	 0.0	 -2354.72	 -2354.7
 17.80	 -0.00	 0.0	 -0.00	 0.0	 -2328.08	 -2328.1
 18.00	 -0.00	 0.0	 -0.00	 0.0	 -2301.58	 -2301.6
 18.20	 -0.00	 0.0	 -0.00	 0.0	 -2275.22	 -2275.2
 18.40	 -0.00	 0.0	 -0.00	 0.0	 -2249.01	 -2249.0
 18.60	 -0.00	 0.0	 -0.00	 0.0	 -2222.96	 -2223.0
 18.80	 -0.00	 0.0	 -0.00	 0.0	 -2197.04	 -2197.0
 19.00	 -0.00	 0.0	 -0.00	 0.0	 -2171.28	 -2171.3
 19.20	 -0.00	 0.0	 -0.00	 0.0	 -2145.66	 -2145.7
 19.40	 -0.00	 0.0	 -0.00	 0.0	 -2120.20	 -2120.2
 19.60	 -0.00	 0.0	 -0.00	 0.0	 -2094.88	 -2094.9
 19.80	 -0.00	 0.0	 -0.00	 0.0	 -2069.71	 -2069.7
 20.00	 -0.00	 0.0	 -0.00	 0.0	 -2044.70	 -2044.7
 20.20	 -0.00	 0.0	 -0.00	 0.0	 -2019.83	 -2019.8
 20.40	 -0.00	 0.0	 -0.00	 0.0	 -1995.11	 -1995.1
 20.60	 -0.00	 0.0	 -0.00	 0.0	 -1970.55	 -1970.5
 20.80	 -0.00	 0.0	 -0.00	 0.0	 -1946.13	 -1946.1
 21.00	 -0.00	 0.0	 -0.00	 0.0	 -1921.87	 -1921.9
 21.20	 -0.00	 0.0	 -0.00	 0.0	 -1897.75	 -1897.8
 21.40	 -0.00	 0.0	 -0.00	 0.0	 -1873.79	 -1873.8
 21.60	 -0.00	 0.0	 -0.00	 0.0	 -1849.98	 -1850.0
 21.80	 -0.00	 0.0	 -0.00	 0.0	 -1826.32	 -1826.3
 22.00	 -0.00	 0.0	 -0.00	 0.0	 -1802.81	 -1802.8
 22.20	 -0.00	 0.0	 -0.00	 0.0	 -1779.46	 -1779.5
 22.40	 -0.00	 0.0	 -0.00	 0.0	 -1756.25	 -1756.3
 22.60	 -0.00	 0.0	 -0.00	 0.0	 -1733.20	 -1733.2
 22.80	 -0.00	 0.0	 -0.00	 0.0	 -1710.30	 -1710.3
 23.00	 -0.00	 0.0	 -0.00	 0.0	 -1687.56	 -1687.6
 23.20	 -0.00	 0.0	 -0.00	 0.0	 -1664.96	 -1665.0
 23.40	 -0.00	 0.0	 -0.00	 0.0	 -1642.52	 -1642.5
 23.60	 -0.00	 0.0	 -0.00	 0.0	 -1620.23	 -1620.2
 23.80	 -0.00	 0.0	 -0.00	 0.0	 -1598.09	 -1598.1
 24.00	 -0.00	 0.0	 -0.00	 0.0	 -1576.11	 -1576.1
 24.20	 -0.00	 0.0	 -0.00	 0.0	 -1554.27	 -1554.3
 24.40	 -0.00	 0.0	 -0.00	 0.0	 -1532.59	 -1532.6
 24.60	 -0.00	 0.0	 -0.00	 0.0	 -1511.06	 -1511.1
 24.80	 -0.00	 0.0	 -0.00	 0.0	 -1489.68	 -1489.7
 25.00	 -0.00	 0.0	 -0.00	 0.0	 -1468.46	 -1468.5
 25.20	 -0.00	 0.0	 -0.00	 0.0	 -1447.38	 -1447.4
 25.40	 -0.00	 0.0	 -0.00	 0.0	 -1426.46	 -1426.5
 25.60	 -0.00	 0.0	 -0.00	 0.0	 -1405.69	 -1405.7
 25.80	 -0.00	 0.0	 -0.00	 0.0	 -1385.07	 -1385.1
 26.00	 -0.00	 0.0	 -0.00	 0.0	 -1364.61	 -1364.6
 26.20	 -0.00	 0.0	 -0.00	 0.0	 -1344.29	 -1344.3
 26.40	 -0.00	 0.0	 -0.00	 0.0	 -1324.12	 -1324.1
 26.60	 -0.00	 0.0	 -0.00	 0.0	 -1304.11	 -1304.1
 26.80	 -0.00	 0.0	 -0.00	 0.0	 -1284.25	 -1284.2
 27.00	 -0.00	 0.0	 -0.00	 0.0	 -1264.53	 -1264.5
 27.20	 -0.00	 0.0	 -0.00	 0.0	 -1244.97	 -1245.0
 27.40	 -0.00	 0.0	 -0.00	 0.0	 -1225.56	 -1225.6
 27.60	 -0.00	 0.0	 -0.00	 0.0	 -1206.29	 -1206.3
 27.80	 -0.00	 0.0	 -0.00	 0.0	 -1187.18	 -1187.2
 28.00	 -0.00	 0.0	 -0.00	 0.0	 -1168.21	 -1168.2
 28.20	 -0.00	 0.0	 -0.00	 0.0	 -1149.40	 -1149.4
 28.40	 -0.00	 0.0	 -0.00	 0.0	 -1130.73	 -1130.7
 28.60	 -0.00	 0.0	 -0.00	 0.0	 -1112.21	 -1112.2
 28.80	 -0.00	 0.0	 -0.00	 0.0	 -1093.84	 -1093.8
 29.00	 -0.00	 0.0	 -0.00	 0.0	 -1075.62	 -1075.6
 29.20	 -0.00	 0.0	 -0.00	 0.0	 -1057.54	 -1057.5
 29.40	 -0.00	 0.0	 -0.00	 0.0	 -1039.61	 -1039.6
 29.60	 -0.00	 0.0	 -0.00	 0.0	 -1021.83	 -1021.8
 29.80	 -0.00	 0.0	 -0.00	 0.0	 -1004.19	 -1004.2
 30.00	 -0.00	 0.0	 -0.00	 0.0	 -986.70	 -986.7
 30.20	 -0.00	 0.0	 -0.00	 0.0	 -969.36	 -969.4
 30.40	 -0.00	 0.0	 -0.00	 0.0	 -952.16	 -952.2
 30.60	 -0.00	 0.0	 -0.00	 0.0	 -935.11	 -935.1
 30.80	 -0.00	 0.0	 -0.00	 0.0	 -918.20	 -918.2
